0,1,1
1,13,1
1,52,1
5,6,1
6,75,1
8,87,1
10,11,1
11,12,1
13,14,1
14,15,1
14,23,1
15,16,1
15,18,1
15,20,1
16,21,1
18,21,1
20,21,1
21,22,1
22,23,1
23,24,1
24,28,1
26,27,1
27,5,1
28,29,1
29,30,1
29,32,1
29,34,1
30,35,1
32,35,1
34,35,1
35,36,1
36,40,1
38,39,1
39,26,1
40,41,1
40,43,1
41,50,1
43,44,1
44,45,1
44,47,1
45,48,1
47,48,1
48,49,1
49,50,1
50,51,1
51,38,1
52,53,1
53,54,1
54,55,1
54,57,1
54,60,1
54,63,1
55,60,1
57,60,1
60,61,1
61,62,1
62,5,1
63,64,1
63,66,1
64,73,1
66,67,1
67,68,1
67,70,1
68,71,1
70,71,1
71,72,1
72,73,1
73,74,1
74,60,1
75,76,1
75,78,1
76,85,1
78,79,1
79,80,1
79,82,1
80,83,1
82,83,1
83,84,1
84,85,1
85,86,1
86,8,1
87,88,1
87,90,1
87,92,1
87,94,1
87,96,1
88,97,1
90,97,1
92,97,1
94,97,1
96,97,1
97,98,1
98,10,1
